candidate_id,value_code,field_code,orientation_code,tick_covered_count,total_match_count,max_multiplicity,full_lift_flag,semantic_transition_flag
1,0,0,1,7,7,1,0,0
0,0,0,0,3,3,1,0,0
6,0,3,0,1,2,2,0,0
7,0,3,1,1,2,2,0,0
8,0,4,0,1,1,1,0,0
9,0,4,1,1,1,1,0,0
2,0,1,0,0,0,0,0,0
3,0,1,1,0,0,0,0,0
4,0,2,0,0,0,0,0,0
5,0,2,1,0,0,0,0,0
10,0,5,0,0,0,0,0,0
11,0,5,1,0,0,0,0,0
12,1,0,0,0,0,0,0,0
13,1,0,1,0,0,0,0,0
14,1,1,0,0,0,0,0,0
15,1,1,1,0,0,0,0,0
16,1,2,0,0,0,0,0,0
17,1,2,1,0,0,0,0,0
18,1,3,0,0,0,0,0,0
19,1,3,1,0,0,0,0,0
20,1,4,0,0,0,0,0,0
21,1,4,1,0,0,0,0,0
22,1,5,0,0,0,0,0,0
23,1,5,1,0,0,0,0,0
