arrow_id,arrow_code,arrow_name,source_node_code,target_node_code,arrow_kind_code,source_count,target_count,support_entry_count,positive_entry_count,total_num,total_den,row_sum_one_count,deterministic_flag
0,0,pair_owner,2,3,0,970225,259,970225,970225,970225,1,970225,1
1,1,owner_component_total,3,6,1,259,3,777,675,259,1,259,0
2,2,boundary_stationary,0,6,1,1,3,3,3,1,1,1,0
3,3,component_kernel,6,6,1,3,3,9,9,3,1,3,0
4,4,path_sum_distribution,7,8,1,8,80,80,80,8,1,8,0
5,5,conv_path_sum16,9,10,1,16,288,288,288,16,1,16,0
6,6,mean_probe,10,11,2,16,16,16,16,16,1,0,0
7,7,moment_probe,10,12,2,16,48,48,48,48,1,0,0
8,8,tail_probe,10,13,3,16,48,48,48,48,1,0,0
9,9,shrink_probe,12,14,4,15,15,15,15,15,1,0,0
