public_atom_id,public_atom_label,h6_triple,native_domain,step_atom_00,step_atom_01,step_atom_02,step_atom_03,step_atom_04,step_atom_05,step_atom_06,step_atom_07,step_atom_08,step_atom_09,step_atom_10,step_atom_11,step_atom_12,step_atom_13,step_atom_14,step_atom_15,step_atom_16,step_atom_17,step_atom_18,step_atom_19,step_atom_20,step_atom_21,step_atom_22,step_atom_23,step_atom_24
0,"{B-,B+,V-}",B-|B+|V-,Lambda^3 H6,3,0,-2,0,0,0,0,0,0,4,0,-4,0,0,0,0,0,0,0,0,0,0,0,-1,0
1,"{B-,B+,V+}",B-|B+|V+,Lambda^3 H6,0,0,0,0,0,-1,0,0,0,-4,0,0,0,0,4,0,0,0,0,2,0,0,-2,1,0
2,"{B-,B+,S-}",B-|B+|S-,Lambda^3 H6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-2,0,0
3,"{B-,B+,S+}",B-|B+|S+,Lambda^3 H6,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
4,"{B-,V-,V+}",B-|V-|V+,Lambda^3 H6,-3,0,2,0,0,0,0,0,-2,0,-1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
5,"{B-,V-,S-}",B-|V-|S-,Lambda^3 H6,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,1,0,0,-1
6,"{B-,V-,S+}",B-|V-|S+,Lambda^3 H6,0,0,0,0,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
7,"{B-,V+,S-}",B-|V+|S-,Lambda^3 H6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-4,0,0,0,3,0,-1,0,0,0,0
8,"{B-,V+,S+}",B-|V+|S+,Lambda^3 H6,-1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-2,0,0,0,0,0,0,0
9,"{B-,S-,S+}",B-|S-|S+,Lambda^3 H6,0,0,0,0,-1,0,0,2,0,0,0,0,0,1,0,0,0,0,-3,0,1,0,0,0,0
10,"{B+,V-,V+}",B+|V-|V+,Lambda^3 H6,0,0,0,0,1,0,0,0,2,0,0,0,0,-2,0,0,0,0,1,0,-2,0,0,0,0
11,"{B+,V-,S-}",B+|V-|S-,Lambda^3 H6,1,0,-2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-3,0
12,"{B+,V-,S+}",B+|V-|S+,Lambda^3 H6,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,2,0,0,0,0
13,"{B+,V+,S-}",B+|V+|S-,Lambda^3 H6,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,3,0
14,"{B+,V+,S+}",B+|V+|S+,Lambda^3 H6,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-2,0,0,2,0,0
15,"{B+,S-,S+}",B+|S-|S+,Lambda^3 H6,0,-2,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,2,0,0
16,"{V-,V+,S-}",V-|V+|S-,Lambda^3 H6,-1,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1
17,"{V-,V+,S+}",V-|V+|S+,Lambda^3 H6,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
18,"{V-,S-,S+}",V-|S-|S+,Lambda^3 H6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
19,"{V+,S-,S+}",V+|S-|S+,Lambda^3 H6,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
