modulus,preperiod,period,parameter_count
2,0,1,1
2,0,2,1
2,1,1,1
2,1,2,1
3,0,1,1
3,0,2,1
3,0,3,1
3,2,1,3
3,2,2,2
3,2,3,1
4,0,1,1
4,0,2,1
4,1,1,3
4,1,2,3
4,2,1,4
4,2,2,4
5,0,1,1
5,0,2,2
5,0,3,1
5,2,1,4
5,2,2,4
5,2,3,1
5,2,4,2
5,3,1,1
5,3,2,1
5,3,3,2
5,3,4,1
5,4,1,3
5,4,2,1
5,5,2,1
6,0,1,1
6,0,2,3
6,0,3,1
6,1,1,1
6,1,2,3
6,1,3,1
6,2,1,6
6,2,2,10
6,2,3,2
6,2,4,4
6,3,2,2
6,5,2,2
8,0,1,1
8,0,2,1
8,1,1,7
8,1,2,7
8,2,1,16
8,2,2,32
10,0,1,1
10,0,2,5
10,0,3,1
10,0,4,1
10,0,6,2
10,1,1,1
10,1,2,5
10,1,3,1
10,1,4,1
10,1,6,2
10,2,1,8
10,2,2,20
10,2,3,4
10,2,4,4
10,2,5,2
10,2,6,2
10,3,1,2
10,3,2,6
10,3,4,4
10,3,6,2
10,4,1,6
10,4,2,2
10,4,3,4
10,4,4,2
10,4,6,2
10,5,2,4
10,5,4,2
10,6,2,2
10,8,4,2
12,0,1,1
12,0,2,3
12,0,3,1
12,0,6,1
12,1,1,3
12,1,2,9
12,1,3,3
12,1,6,3
12,2,1,28
12,2,2,52
12,2,3,12
12,2,4,8
12,3,2,4
12,3,6,4
12,5,2,8
12,5,4,4
20,0,1,1
20,0,2,5
20,0,3,1
20,0,4,2
20,0,6,1
20,1,1,3
20,1,2,15
20,1,3,3
20,1,4,6
20,1,6,3
20,2,1,32
20,2,2,80
20,2,3,12
20,2,4,32
20,2,6,12
20,2,8,4
20,2,9,4
20,2,10,4
20,3,1,12
20,3,2,16
20,3,3,8
20,3,4,4
20,4,1,24
20,4,2,44
20,4,4,8
20,5,1,4
20,5,2,16
20,5,4,4
20,5,6,4
20,6,2,8
20,6,6,4
20,7,2,16
20,9,2,4
20,9,4,4
60,0,1,1
60,0,2,11
60,0,3,3
60,0,4,3
60,0,6,6
60,1,1,3
60,1,2,33
60,1,3,9
60,1,4,9
60,1,6,18
60,2,1,100
60,2,2,568
60,2,3,116
60,2,4,228
60,2,5,20
60,2,6,220
60,2,7,32
60,2,8,88
60,2,9,12
60,2,10,44
60,2,12,20
60,2,13,4
60,2,14,4
60,2,16,8
60,2,22,4
60,3,1,16
60,3,2,124
60,3,3,28
60,3,4,80
60,3,5,8
60,3,6,80
60,3,7,8
60,3,8,12
60,3,10,8
60,3,12,12
60,3,16,4
60,4,1,56
60,4,2,180
60,4,3,72
60,4,4,60
60,4,5,12
60,4,6,64
60,4,8,4
60,4,9,8
60,4,10,8
60,4,12,16
60,4,14,4
60,4,20,4
60,5,1,40
60,5,2,260
60,5,3,16
60,5,4,72
60,5,5,8
60,5,6,32
60,5,7,4
60,5,8,20
60,5,10,16
60,5,14,8
60,5,24,4
60,6,1,20
60,6,2,92
60,6,3,12
60,6,4,68
60,6,6,32
60,6,8,4
60,6,14,4
60,6,18,4
60,7,1,24
60,7,2,68
60,7,3,20
60,7,4,20
60,7,5,4
60,7,6,24
60,7,7,8
60,7,10,4
60,7,12,4
60,8,2,64
60,8,3,4
60,8,4,24
60,8,6,12
60,8,8,8
60,9,1,8
60,9,2,12
60,9,4,4
60,9,6,12
60,9,14,4
60,10,2,8
60,10,4,24
60,10,6,4
60,11,1,8
60,11,2,12
60,11,8,8
60,11,10,4
60,11,14,4
60,12,2,4
60,12,4,4
60,12,8,4
60,13,6,4
60,14,4,4
60,14,10,4
60,15,4,8
60,15,6,4
60,17,2,4
60,17,6,4
60,20,6,4
60,25,4,4
