orbit_id,size,representative,member_a,member_b,fixed,nonzero
0,2,3,3,18,False,True
1,2,5,5,528,False,True
2,2,6,6,514,False,True
3,2,8,8,1034,False,True
4,2,11,11,1048,False,True
5,2,13,13,1562,False,True
6,2,14,14,1544,False,True
7,1,17,17,17,True,True
8,2,20,20,513,False,True
9,2,23,23,531,False,True
10,2,25,25,1051,False,True
11,2,26,26,1033,False,True
12,2,28,28,1547,False,True
13,2,31,31,1561,False,True
14,2,33,33,80,False,True
15,2,34,34,66,False,True
16,2,36,36,576,False,True
17,2,39,39,594,False,True
18,2,41,41,1114,False,True
19,2,42,42,1096,False,True
20,2,44,44,1610,False,True
21,2,47,47,1624,False,True
22,2,48,48,65,False,True
23,2,51,51,83,False,True
24,2,53,53,593,False,True
25,2,54,54,579,False,True
26,2,56,56,1099,False,True
27,2,59,59,1113,False,True
28,2,61,61,1627,False,True
29,2,62,62,1609,False,True
30,2,68,68,544,False,True
31,2,71,71,562,False,True
32,2,73,73,1082,False,True
33,2,74,74,1064,False,True
34,2,76,76,1578,False,True
35,2,79,79,1592,False,True
36,2,85,85,561,False,True
37,2,86,86,547,False,True
38,2,88,88,1067,False,True
39,2,91,91,1081,False,True
40,2,93,93,1595,False,True
41,2,94,94,1577,False,True
42,1,96,96,96,True,True
43,2,99,99,114,False,True
44,2,101,101,624,False,True
45,2,102,102,610,False,True
46,2,104,104,1130,False,True
47,2,107,107,1144,False,True
48,2,109,109,1658,False,True
49,2,110,110,1640,False,True
50,1,113,113,113,True,True
51,2,116,116,609,False,True
52,2,119,119,627,False,True
53,2,121,121,1147,False,True
54,2,122,122,1129,False,True
55,2,124,124,1643,False,True
56,2,127,127,1657,False,True
57,2,129,129,144,False,True
58,1,130,130,130,True,True
59,2,132,132,640,False,True
60,2,135,135,658,False,True
61,2,137,137,1178,False,True
62,2,138,138,1160,False,True
63,2,140,140,1674,False,True
64,2,143,143,1688,False,True
65,1,147,147,147,True,True
66,2,149,149,657,False,True
67,2,150,150,643,False,True
68,2,152,152,1163,False,True
69,2,155,155,1177,False,True
70,2,157,157,1691,False,True
71,2,158,158,1673,False,True
72,2,160,160,192,False,True
73,2,163,163,210,False,True
74,2,165,165,720,False,True
75,2,166,166,706,False,True
76,2,168,168,1226,False,True
77,2,171,171,1240,False,True
78,2,173,173,1754,False,True
79,2,174,174,1736,False,True
80,2,177,177,209,False,True
