raw_sector,legacy_sector,block_dimension,fingerprint,match_status
0,23,3,"[-223959, 0, 402779, -149306, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
1,24,1,"[0, 0, 0, -149306, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
2,29,4,"[0, 0, 0, -343751, 238282, -15625]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
3,13,2,"[0, 0, 0, -74653, 0, 194011]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
4,32,2,"[0, 0, 104167, 0, 0, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
5,19,1,"[0, -343751, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
6,11,5,"[0, 0, 104167, -447918, 373048, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
7,16,3,"[0, 0, 0, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
8,30,4,"[0, -343751, 208334, 0, 0, 328126]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
9,6,2,"[0, 0, 0, 0, 119141, -253907]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
10,36,12,"[-15625, -31250, -375001, -31250, 476564, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
11,20,2,"[-15625, 0, 0, 0, 238282, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
12,3,5,"[0, 0, 0, 208334, -31250, 312501]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
13,28,5,"[328126, 0, 208334, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
14,12,4,"[0, 104167, -194445, 402779, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
15,37,11,"[250001, 250001, 0, -166667, -62500, 250001]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
16,31,10,"[-46875, -31250, 0, -343751, 476564, 476564]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
17,7,1,"[0, 328126, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
18,8,3,"[164063, 0, 0, -223959, 373048, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
19,33,2,"[0, -31250, 0, 0, 0, 492189]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
20,18,6,"[388022, -223959, -298612, -74653, -208985, 194011]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
21,5,2,"[0, 0, 312501, 0, 0, -253907]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
22,9,3,"[0, 0, 0, -447918, 0, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
23,2,4,"[0, 0, 0, -343751, 0, 476564]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
24,10,1,"[0, -223959, 0, 0, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
25,1,6,"[-15625, 0, -375001, -343751, 238282, -15625]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
26,27,4,"[164063, 328126, 0, 0, 373048, -417970]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
27,14,5,"[0, 0, 402779, -298612, 0, -223959]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
28,4,4,"[-15625, 0, 0, 0, 476564, 492189]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
29,26,1,"[0, 0, 0, 0, 373048, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
30,25,1,"[0, 0, 0, 0, -208985, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
31,17,4,"[-15625, 0, 0, -343751, 476564, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
32,0,10,"[-31250, 0, 250001, 250001, -46875, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
33,21,2,"[492189, 0, 0, 0, 119141, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
34,38,8,"[0, 0, -375001, -31250, 0, -31250]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
35,34,1,"[0, 0, 0, -223959, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
36,22,2,"[0, -31250, 0, -343751, 0, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
37,15,4,"[-31250, 0, -375001, 0, 238282, 0]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
38,35,9,"[-375001, 250001, 0, 208334, -31250, 312501]",UNIQUE_IDENTITY_FINGERPRINT_MATCH
