raw_sector,relation_alpha,coefficient_mod_1000003
0,0,776044
0,1,776044
0,2,776044
0,3,776044
0,4,776044
0,5,776044
0,6,776044
0,7,611981
0,8,611981
0,9,611981
0,10,611981
0,11,611981
0,12,611981
0,13,611981
0,14,611981
0,15,611981
0,16,611981
0,17,776044
0,18,776044
0,19,776044
0,20,776044
0,21,776044
0,22,776044
0,23,776044
0,24,776044
0,25,776044
0,26,776044
0,27,776044
0,28,611981
0,29,611981
0,30,611981
0,31,611981
0,32,611981
0,227,402779
0,228,402779
0,229,402779
0,230,402779
0,231,402779
0,232,402779
0,233,298612
0,234,402779
0,235,298612
0,236,402779
0,237,402779
0,238,402779
0,239,298612
0,240,402779
0,349,850697
0,350,850697
0,351,74653
0,352,850697
0,353,74653
0,354,850697
0,355,850697
0,356,850697
0,357,74653
0,358,74653
0,359,850697
0,360,850697
0,361,74653
0,362,74653
0,363,850697
0,364,74653
0,365,850697
0,366,74653
0,367,850697
0,368,850697
0,369,74653
0,370,74653
0,371,74653
0,372,74653
0,373,74653
0,374,74653
0,375,74653
0,376,74653
0,377,74653
0,378,74653
0,379,850697
0,380,850697
0,381,74653
0,382,74653
0,383,74653
0,384,74653
0,385,74653
0,386,74653
0,387,74653
0,388,74653
0,389,74653
0,390,74653
0,391,74653
0,392,74653
0,393,74653
0,394,74653
0,395,850697
0,396,74653
0,397,850697
0,398,850697
0,399,74653
0,400,850697
0,401,74653
0,402,850697
0,403,850697
0,404,74653
0,405,850697
0,406,850697
0,407,74653
0,408,850697
0,409,74653
0,410,850697
0,411,74653
0,412,74653
0,413,850697
0,414,850697
0,415,74653
0,416,850697
0,417,850697
0,418,74653
0,419,74653
0,420,74653
0,421,850697
0,422,850697
0,423,850697
0,424,850697
0,425,850697
0,426,850697
0,427,74653
0,428,74653
0,429,74653
0,430,850697
0,431,850697
0,432,850697
0,433,74653
0,434,850697
1,349,850697
1,350,850697
1,351,925350
1,352,850697
1,353,74653
1,354,850697
1,355,149306
1,356,149306
1,357,925350
1,358,74653
1,359,850697
1,360,850697
1,361,74653
1,362,74653
1,363,149306
1,364,925350
1,365,850697
1,366,925350
1,367,149306
1,368,850697
1,369,74653
1,370,74653
1,371,74653
1,372,925350
1,373,74653
