raw_sector,eigenvalue,eigen_equation_nonzero_entries
0,7121,0
1,32258,0
2,88048,0
3,156154,0
4,199205,0
5,222285,0
6,235195,0
7,255487,0
8,266952,0
9,267950,0
10,269025,0
11,298072,0
12,371651,0
13,447434,0
14,451018,0
15,469584,0
16,511657,0
17,548312,0
18,606158,0
19,629586,0
20,662338,0
21,684890,0
22,685469,0
23,686949,0
24,687116,0
25,690448,0
26,722438,0
27,733011,0
28,770171,0
29,777058,0
30,809357,0
31,821487,0
32,859311,0
33,883301,0
34,896508,0
35,902354,0
36,978309,0
37,994874,0
38,996129,0
