package,layer,invariant,value,status,source
imported,base,D20 critical group,Z/2 x Z/12 x Z/60^3,CERTIFIED_BY_RECOMPUTATION,d20.json + this package
imported,base,critical group order,5184000,CERTIFIED_BY_RECOMPUTATION,d20.json + this package
imported,family,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
imported,family,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
imported,proof_trace,Burning_static_fields_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
imported,proof_trace,Burning_static_fields_image_size,162000,CERTIFIED_BY_RECOMPUTATION,proof_trace_family_summary.csv
imported,scheduler_family,BURNING_STATIC_FIELDS_quotient,Z/2 x Z/4^2,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
imported,scheduler_family,BURNING_STATIC_FIELDS_image_size,162000,CERTIFIED_BY_RECOMPUTATION,scheduler_family_summary.csv
imported,family,A985_frame_fields_quotient,Z/2 x Z/20 x Z/60,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
imported,family,A985_frame_fields_image_size,2160,CERTIFIED_BY_RECOMPUTATION,all_family_summary.csv
imported,hybrid,ECA_pattern_basis + Burning_static_fields,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
imported,hybrid,BOOLEAN_TRACE_UNION + Burning_weighted_analytic,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
imported,hybrid,BOOLEAN_TRACE_UNION + Burning_static_all,trivial,CERTIFIED_BY_RECOMPUTATION,trace_hybrid_closure_summary.csv
imported,prior,sandpile_burningship,D20_SANDPILE_BURNINGSHIP_STATIC_ACTION_CERTIFIED,IMPORTED_CERTIFICATE_HASHED,d20_sandpile_burningship_certificate.json
