quotient_generator,sector_support,sector_count,dimension_sum,regular_trace,contains_sector33,height_support_exact_for_certified_transport,inclusion_minimal_nonzero,boundary_null,zero_member_sectors,nonzero_member_sectors,support_all_members_zero,support_has_nonzero_member,trace_sum_mod_1000003,trace_sum_signed,sector_support_perennial_ids,zero_member_sectors_perennial_ids,nonzero_member_sectors_perennial_ids
z2_a12_parity,{},0,0,0,False,False,False,True,[],[],False,False,0,0,,,
z2_a12_parity,{33},1,2,4,True,True,True,True,[33],[],True,False,0,0,a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,
z2_a12_parity,"{6,26}",2,3,5,False,False,True,True,[],"[6,26]",False,True,999999,-4,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z2_a12_parity,"{25,26}",2,2,2,False,False,True,True,[],"[25,26]",False,True,12,12,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
z2_a12_parity,"{6,26,33}",3,5,9,True,False,False,True,[33],"[6,26]",False,True,999999,-4,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z2_a12_parity,"{25,26,33}",3,4,6,True,False,False,True,[33],"[25,26]",False,True,12,12,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
z4_a12_frame_clock,{},0,0,0,False,False,False,True,[],[],False,False,0,0,,,
z4_a12_frame_clock,{33},1,2,4,True,True,True,True,[33],[],True,False,0,0,a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,
z4_a12_frame_clock,"{6,26}",2,3,5,False,False,True,True,[],"[6,26]",False,True,4,4,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z4_a12_frame_clock,"{25,26}",2,2,2,False,False,True,True,[],"[25,26]",False,True,999991,-12,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
z4_a12_frame_clock,"{6,26,33}",3,5,9,True,False,False,True,[33],"[6,26]",False,True,4,4,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z4_a12_frame_clock,"{25,26,33}",3,4,6,True,False,False,True,[33],"[25,26]",False,True,999991,-12,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
z4_a42_clock,{},0,0,0,False,False,False,True,[],[],False,False,0,0,,,
z4_a42_clock,{33},1,2,4,True,True,True,True,[33],[],True,False,0,0,a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,
z4_a42_clock,"{6,26}",2,3,5,False,False,True,True,[],"[6,26]",False,True,999995,-8,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z4_a42_clock,"{25,26}",2,2,2,False,False,True,True,[],"[25,26]",False,True,24,24,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2,,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
z4_a42_clock,"{6,26,33}",3,5,9,True,False,False,True,[33],"[6,26]",False,True,999995,-8,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
z4_a42_clock,"{25,26,33}",3,4,6,True,False,False,True,[33],"[25,26]",False,True,24,24,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590,a985pf.0f1476a5434aef02bb516590,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
