legacy_sector,block_dimension,fingerprint
0,10,"[-31250, 0, 250001, 250001, -46875, -31250]"
1,6,"[-15625, 0, -375001, -343751, 238282, -15625]"
2,4,"[0, 0, 0, -343751, 0, 476564]"
3,5,"[0, 0, 0, 208334, -31250, 312501]"
4,4,"[-15625, 0, 0, 0, 476564, 492189]"
5,2,"[0, 0, 312501, 0, 0, -253907]"
6,2,"[0, 0, 0, 0, 119141, -253907]"
7,1,"[0, 328126, 0, 0, 0, 0]"
8,3,"[164063, 0, 0, -223959, 373048, 0]"
9,3,"[0, 0, 0, -447918, 0, -417970]"
10,1,"[0, -223959, 0, 0, 0, 0]"
11,5,"[0, 0, 104167, -447918, 373048, -417970]"
12,4,"[0, 104167, -194445, 402779, 0, 0]"
13,2,"[0, 0, 0, -74653, 0, 194011]"
14,5,"[0, 0, 402779, -298612, 0, -223959]"
15,4,"[-31250, 0, -375001, 0, 238282, 0]"
16,3,"[0, 0, 0, -343751, 0, 0]"
17,4,"[-15625, 0, 0, -343751, 476564, 0]"
18,6,"[388022, -223959, -298612, -74653, -208985, 194011]"
19,1,"[0, -343751, 0, 0, 0, 0]"
20,2,"[-15625, 0, 0, 0, 238282, 0]"
21,2,"[492189, 0, 0, 0, 119141, 0]"
22,2,"[0, -31250, 0, -343751, 0, 0]"
23,3,"[-223959, 0, 402779, -149306, 0, 0]"
24,1,"[0, 0, 0, -149306, 0, 0]"
25,1,"[0, 0, 0, 0, -208985, 0]"
26,1,"[0, 0, 0, 0, 373048, 0]"
27,4,"[164063, 328126, 0, 0, 373048, -417970]"
28,5,"[328126, 0, 208334, -343751, 0, 0]"
29,4,"[0, 0, 0, -343751, 238282, -15625]"
30,4,"[0, -343751, 208334, 0, 0, 328126]"
31,10,"[-46875, -31250, 0, -343751, 476564, 476564]"
32,2,"[0, 0, 104167, 0, 0, -417970]"
33,2,"[0, -31250, 0, 0, 0, 492189]"
34,1,"[0, 0, 0, -223959, 0, 0]"
35,9,"[-375001, 250001, 0, 208334, -31250, 312501]"
36,12,"[-15625, -31250, -375001, -31250, 476564, -31250]"
37,11,"[250001, 250001, 0, -166667, -62500, 250001]"
38,8,"[0, 0, -375001, -31250, 0, -31250]"
