raw_sector,block_dimension,regular_trace,fingerprint
0,3,9,"[-223959, 0, 402779, -149306, 0, 0]"
1,1,1,"[0, 0, 0, -149306, 0, 0]"
2,4,16,"[0, 0, 0, -343751, 238282, -15625]"
3,2,4,"[0, 0, 0, -74653, 0, 194011]"
4,2,4,"[0, 0, 104167, 0, 0, -417970]"
5,1,1,"[0, -343751, 0, 0, 0, 0]"
6,5,25,"[0, 0, 104167, -447918, 373048, -417970]"
7,3,9,"[0, 0, 0, -343751, 0, 0]"
8,4,16,"[0, -343751, 208334, 0, 0, 328126]"
9,2,4,"[0, 0, 0, 0, 119141, -253907]"
10,12,144,"[-15625, -31250, -375001, -31250, 476564, -31250]"
11,2,4,"[-15625, 0, 0, 0, 238282, 0]"
12,5,25,"[0, 0, 0, 208334, -31250, 312501]"
13,5,25,"[328126, 0, 208334, -343751, 0, 0]"
14,4,16,"[0, 104167, -194445, 402779, 0, 0]"
15,11,121,"[250001, 250001, 0, -166667, -62500, 250001]"
16,10,100,"[-46875, -31250, 0, -343751, 476564, 476564]"
17,1,1,"[0, 328126, 0, 0, 0, 0]"
18,3,9,"[164063, 0, 0, -223959, 373048, 0]"
19,2,4,"[0, -31250, 0, 0, 0, 492189]"
20,6,36,"[388022, -223959, -298612, -74653, -208985, 194011]"
21,2,4,"[0, 0, 312501, 0, 0, -253907]"
22,3,9,"[0, 0, 0, -447918, 0, -417970]"
23,4,16,"[0, 0, 0, -343751, 0, 476564]"
24,1,1,"[0, -223959, 0, 0, 0, 0]"
25,6,36,"[-15625, 0, -375001, -343751, 238282, -15625]"
26,4,16,"[164063, 328126, 0, 0, 373048, -417970]"
27,5,25,"[0, 0, 402779, -298612, 0, -223959]"
28,4,16,"[-15625, 0, 0, 0, 476564, 492189]"
29,1,1,"[0, 0, 0, 0, 373048, 0]"
30,1,1,"[0, 0, 0, 0, -208985, 0]"
31,4,16,"[-15625, 0, 0, -343751, 476564, 0]"
32,10,100,"[-31250, 0, 250001, 250001, -46875, -31250]"
33,2,4,"[492189, 0, 0, 0, 119141, 0]"
34,8,64,"[0, 0, -375001, -31250, 0, -31250]"
35,1,1,"[0, 0, 0, -223959, 0, 0]"
36,2,4,"[0, -31250, 0, -343751, 0, 0]"
37,4,16,"[-31250, 0, -375001, 0, 238282, 0]"
38,9,81,"[-375001, 250001, 0, 208334, -31250, 312501]"
