raw_sector,separating_eigenvalue,regular_trace,block_dimension,q42_zero,q12_zero,public_zero_both,orbital_support_size
0,7121,9,3,False,False,False,133
1,32258,1,1,False,False,False,86
2,88048,16,4,False,False,False,88
3,156154,4,2,False,False,False,190
4,199205,4,2,False,False,False,115
5,222285,1,1,False,False,False,12
6,235195,25,5,False,False,False,133
7,255487,9,3,False,False,False,62
8,266952,16,4,False,False,False,75
9,267950,4,2,False,False,False,88
10,269025,144,12,False,False,False,156
11,298072,4,2,False,False,False,62
12,371651,25,5,False,False,False,114
13,447434,25,5,False,False,False,105
14,451018,16,4,False,False,False,66
15,469584,121,11,False,False,False,78
16,511657,100,10,False,False,False,180
17,548312,1,1,False,False,False,16
18,606158,9,3,False,False,False,115
19,629586,4,2,False,False,False,56
20,662338,36,6,False,False,False,297
21,684890,4,2,False,False,False,52
22,685469,9,3,False,False,False,79
23,686949,16,4,False,False,False,92
24,687116,1,1,False,False,False,16
25,690448,36,6,False,False,False,125
26,722438,16,4,False,False,False,182
27,733011,25,5,False,False,False,109
28,770171,16,4,False,False,False,119
29,777058,1,1,False,False,False,44
30,809357,1,1,False,False,False,44
31,821487,16,4,False,False,False,74
32,859311,100,10,False,False,False,64
33,883301,4,2,False,False,False,62
34,896508,64,8,False,False,False,90
35,902354,1,1,False,False,False,38
36,978309,4,2,False,False,False,32
37,994874,16,4,False,False,False,77
38,996129,81,9,False,False,False,134
