source_sector,raw_sector,block_dimension,target_i,target_j,max_residual_mod_1000003,nonzero_residual_count,perennial_id,coordinate_fingerprint_id
0,32,10,0,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,0,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,1,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,2,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,3,9,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,0,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,1,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,2,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,3,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,4,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,5,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,6,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,7,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
0,32,10,4,8,0,0,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
