source_sector,raw_sector,block_dimension,matrix_unit_count,chart_rows,identity_character_mod_1000003,central_page_trace_mod_1000003,diagonal_unit_trace_sum_mod_1000003,off_diagonal_nonzero_trace_count,nonzero_character_values,character_row_sha256,perennial_id,coordinate_fingerprint_id
0,32,10,100,"[0,45,53,54,55,58,77,78,107,108,215,227,241,242,243,253,263,264,271,276,291,292,295,299,327,329,338,339,349,350,351,353,354,356,357,358,369,372,373,374,375,384,402,403,435,436,437,438,439,441,443,447,467,468,469,470,480,485,497,499,531,532,573,575,581,582,583,584,586,587,589,591,613,616,617,619,657,658,659,661,701,703,761,762,775,776,782,783,784,785,796,797,837,838,840,841,886,896,928,930]",10,10,10,0,64,207ffbbc4f69d52d38cbab7311db26bf6b3ad87cc1e22e8409aa22843071405e,a985pf.84002e99c600a48618b5e595,a985coord.3ec8e67688c022a9d0059f69
1,25,6,36,"[0,45,54,77,107,108,215,227,244,263,275,284,303,333,349,438,467,480,532,573,586,613,657,658,701,703,753,759,775,782,837,842,883,886,888,928]",6,6,6,0,125,c0b2b0fa2266e78dc4f813561162516e0c7bde1bfbf909e34b64dc1f53e59535,a985pf.9dbed46bb0c6344488e1f811,a985coord.2eb070838c4af1b46e838430
2,23,4,16,"[349,467,472,480,773,775,782,881,882,883,884,886,887,890,894,928]",4,4,4,0,92,2a193dae1963617346e674a366de414d8b1667b5c715de2763e06a215bbc8773,a985pf.d7101280a84ba80e5b49b132,a985coord.5f9548ae161854b677064635
3,12,5,25,"[349,435,436,467,469,581,582,613,614,615,618,657,658,659,660,773,774,837,838,839,840,881,882,883,885]",5,5,5,0,114,1965023d76de5b2198552004886df1a7b5f8514b84949ed2698bcd7c8e13c6ea,a985pf.733ef39d0f9f629ef9f672a0,a985coord.d3e86b7aee25cc6088ffe61a
4,28,4,16,"[0,77,80,107,531,532,613,614,615,616,657,658,701,837,839,886]",4,4,4,0,119,7f39b34c3a8f32e90d5ef1bda051a0f99bb5a80fc313c7ee21bbe256116bb589,a985pf.af080f21840d4387a85d2d76,a985coord.4eef7c0d059e3d871509529d
5,21,2,4,"[227,271,761,886]",2,2,2,0,52,950266ebc420a98c80f6e4db6f323a6e8137a1667256ba5528eeed9559caff21,a985pf.9d42d1525738f3767a79c3ba,a985coord.aa5f72ad7400f95b1490aa84
6,9,2,4,"[613,657,837,886]",2,2,2,0,88,c28a5500824f3f6d0684bde2bcc2511090c52aea7a82e950be44e54a7149ba7b,a985pf.404cf670100d6a5f1a2dd250,a985coord.8b0381188ff5b5b5bf854edb
7,17,1,1,[151],1,1,1,0,16,5a754d3e5be8ad5b6d7f109812d59191919e23fc5f0c6d5845b16ff30ebcef4a,a985pf.41d0312324b2f0c15d007f6d,a985coord.3c87a850283f68ad6e7f5fdd
8,18,3,9,"[0,53,77,291,349,435,531,581,613]",3,3,3,0,115,e2c8ee0d254cb59a014e62f415accc2f4e99cc482a5c500fcf5906071a97b0e7,a985pf.e206beea930aaabb08cab08e,a985coord.44ea9db8e2149ecf9e9ce069
9,22,3,9,"[349,351,355,358,467,468,775,782,886]",3,3,3,0,79,0de2e04e4da3f351d82c4eaf080383ae04fbf5e73b2c2c614680024a0fea0c19,a985pf.888800292a677b99e8e0d84a,a985coord.292d96a8cd931bfd754c2f92
10,24,1,1,[151],1,1,1,0,16,b444f7e5ef79dc8c3a766ae6c19a0ff8214d3ac6f3423ba4bfa9ed907503f381,a985pf.6a5e79e5cd51d443d142d532,a985coord.a7cab8e86acf5d3b7cd959fb
