screen_id,sector_support,sector_count,dimension_sum,public_zero,scalar_on_support,support_scalar,canonical_trace_defined,identity_trace_mod_1000003,expected_identity_trace_mod_1000003,nonzero_trace_values,trace_sha256,sector_support_perennial_ids
signed_turn_screen_0,{},0,0,True,True,0,True,0,0,0,cdbba96a1f6cf0654f725cb19118067a1e2e58ea48fb7d60bc6f55efa681ae97,
signed_turn_screen_0,{33},1,2,True,True,1,True,2,2,56,51194f3d10809fcc943affe2a6bea9b465d6eb0f7924b540ac81c87eaf2b65df,a985pf.0f1476a5434aef02bb516590
signed_turn_screen_0,"{6,26}",2,3,True,True,1,True,3,3,88,58e730d0fb84804029d744baf9591a2b2f4fe92ad95dacd0a6047f5baeaf4886,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_0,"{25,26}",2,2,True,True,1,True,2,2,44,a2bd309687d23a7c6e5a46f157929914dcb2978f034474ad2cdd4ea28c4f5327,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_0,"{6,26,33}",3,5,True,True,1,True,5,5,84,450a872141d577cce7ed277776d6c56f47c5b591e7313605bdfd54375acd309e,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
signed_turn_screen_0,"{25,26,33}",3,4,True,True,1,True,4,4,100,95c184ef17e9e0fba26d198b1e98bc203cee07d46c712fa9fafc26973e9ee614,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
signed_turn_screen_1,{},0,0,True,True,0,True,0,0,0,cdbba96a1f6cf0654f725cb19118067a1e2e58ea48fb7d60bc6f55efa681ae97,
signed_turn_screen_1,{33},1,2,True,True,1,True,2,2,56,51194f3d10809fcc943affe2a6bea9b465d6eb0f7924b540ac81c87eaf2b65df,a985pf.0f1476a5434aef02bb516590
signed_turn_screen_1,"{6,26}",2,3,True,False,,False,,,,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_1,"{25,26}",2,2,True,True,-1,True,1000001,1000001,44,804343299814d08312fc49cd95c6e12aa268c158680952acc16192b2c0f023b5,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_1,"{6,26,33}",3,5,True,False,,False,,,,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
signed_turn_screen_1,"{25,26,33}",3,4,True,False,,False,,,,,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
signed_turn_screen_2,{},0,0,True,True,0,True,0,0,0,cdbba96a1f6cf0654f725cb19118067a1e2e58ea48fb7d60bc6f55efa681ae97,
signed_turn_screen_2,{33},1,2,True,True,-1,True,1000001,1000001,56,82e956e44915b61207d868989a892f5de144ffeddb73e80571d8d86060b03ee2,a985pf.0f1476a5434aef02bb516590
signed_turn_screen_2,"{6,26}",2,3,True,False,,False,,,,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_2,"{25,26}",2,2,True,True,1,True,2,2,44,a2bd309687d23a7c6e5a46f157929914dcb2978f034474ad2cdd4ea28c4f5327,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2
signed_turn_screen_2,"{6,26,33}",3,5,True,False,,False,,,,,a985pf.404cf670100d6a5f1a2dd250|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
signed_turn_screen_2,"{25,26,33}",3,4,True,False,,False,,,,,a985pf.f5c4748a515dca877336eb56|a985pf.1c291d5534c311edc48123b2|a985pf.0f1476a5434aef02bb516590
