source_sector,raw_sector,perennial_id,perennial_payload_sha256,coordinate_fingerprint_id,coordinate_payload_sha256,block_dimension,matrix_unit_count,six_identity_trace_fingerprint_signed,canonical_character_row_sha256,matrix_unit_block_sha256,convention_status,burning_ship_trace_signature,public_zero_support_projector_sha256_memberships,public_zero_support_name_aliases
0,32,a985pf.84002e99c600a48618b5e595,84002e99c600a48618b5e595f6384305301329f0142f073c94499d886673c4a7,a985coord.3ec8e67688c022a9d0059f69,3ec8e67688c022a9d0059f6995794e7ec720386a23642ee87d974d8fb592e120,10,100,"[-31250, 0, 250001, 250001, -46875, -31250]",207ffbbc4f69d52d38cbab7311db26bf6b3ad87cc1e22e8409aa22843071405e,82e8333dbe71597a0144996d5a00627d85df2080aea1da7ae4b593274a5e8357,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":3,""z4_a12_frame_clock"":-1,""z4_a42_clock"":6}",,
1,25,a985pf.9dbed46bb0c6344488e1f811,9dbed46bb0c6344488e1f81134979269d40eee3fe33e43db7f92b7c44f5e9549,a985coord.2eb070838c4af1b46e838430,2eb070838c4af1b46e83843006d7ab7bb500933c2b83288b9edc705b4e05046f,6,36,"[-15625, 0, -375001, -343751, 238282, -15625]",c0b2b0fa2266e78dc4f813561162516e0c7bde1bfbf909e34b64dc1f53e59535,5be0e7c3fd6fbcdebb7c153f6e2755485305562eaa1a372708514552a511cdcd,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":2,""z4_a12_frame_clock"":-6,""z4_a42_clock"":4}",,
2,23,a985pf.d7101280a84ba80e5b49b132,d7101280a84ba80e5b49b1320b001be45341eec8b2ff266b0b728e84c2c50d7d,a985coord.5f9548ae161854b677064635,5f9548ae161854b67706463552806f271d8a8ae7f6f159e17ba1c1e357fc1b7f,4,16,"[0, 0, 0, -343751, 0, 476564]",2a193dae1963617346e674a366de414d8b1667b5c715de2763e06a215bbc8773,d5584114f6fe747b519fdc70c10fd0bbb218f046f17498ee7b56ababf2157911,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":1,""z4_a42_clock"":2}",,
3,12,a985pf.733ef39d0f9f629ef9f672a0,733ef39d0f9f629ef9f672a02da2b778d6bb0404ea2d5a177aaba4828f85ed47,a985coord.d3e86b7aee25cc6088ffe61a,d3e86b7aee25cc6088ffe61a5355c93d6c5cda28a1ddd12076a3b50836c9c304,5,25,"[0, 0, 0, 208334, -31250, 312501]",1965023d76de5b2198552004886df1a7b5f8514b84949ed2698bcd7c8e13c6ea,d4aba7d000735040cebe0480195d48d35e9f1dc15e5e5ae3adfc482f63d51104,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":-3,""z4_a12_frame_clock"":5,""z4_a42_clock"":-6}",,
4,28,a985pf.af080f21840d4387a85d2d76,af080f21840d4387a85d2d76e430d9806c9663753dff73f902bdf7afff6dc291,a985coord.4eef7c0d059e3d871509529d,4eef7c0d059e3d871509529db1ac6ad847ca1e38a1c264cffdb1ce2fbe6065d5,4,16,"[-15625, 0, 0, 0, 476564, 492189]",7f39b34c3a8f32e90d5ef1bda051a0f99bb5a80fc313c7ee21bbe256116bb589,3f32f687537c460e87615be57ae879b83a187c5f944415067e18d643add259c1,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":2,""z4_a12_frame_clock"":-10,""z4_a42_clock"":4}",,
5,21,a985pf.9d42d1525738f3767a79c3ba,9d42d1525738f3767a79c3ba4dd4b7a1cb451909958046fe56388116d202673a,a985coord.aa5f72ad7400f95b1490aa84,aa5f72ad7400f95b1490aa8401bcc2a77484a0cb8c02f050d3300058edec9960,2,4,"[0, 0, 312501, 0, 0, -253907]",950266ebc420a98c80f6e4db6f323a6e8137a1667256ba5528eeed9559caff21,28f6878577e44b5610ad9c0d65bb36e4fe95260c7cffa8830814fff0b0a298d3,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":1,""z4_a42_clock"":2}",,
6,9,a985pf.404cf670100d6a5f1a2dd250,404cf670100d6a5f1a2dd2502ddfc06c103c88ba54b18f4361a43637cb205eea,a985coord.8b0381188ff5b5b5bf854edb,8b0381188ff5b5b5bf854edb3261c76f298561e8d5d4c3309355930163726290,2,4,"[0, 0, 0, 0, 119141, -253907]",c28a5500824f3f6d0684bde2bcc2511090c52aea7a82e950be44e54a7149ba7b,78a0f56c495057845b37800292ad88ee96746caa24cc7bffb55b3b80c13b1d9c,EXTERNAL_REGISTERED_SUPPORT_CONVENTION,"{""z2_a12_parity"":2,""z4_a12_frame_clock"":-2,""z4_a42_clock"":4}",294a21eb1d82617df4c6b644ba51f94abeb4f0a83e8c4357f5247396c572cb4e|e24270e26e098e252a4ca1004d2bdee82c815c9dab25ab60227b8d23ad91e771,Pi33_plus_mixed_S_channel|mixed_S_channel_6_26
7,17,a985pf.41d0312324b2f0c15d007f6d,41d0312324b2f0c15d007f6de50d6faa780ffe4bba155bb3465456784f474e55,a985coord.3c87a850283f68ad6e7f5fdd,3c87a850283f68ad6e7f5fdd08729777c31656889198cd10f1be5cb379aa76c5,1,1,"[0, 328126, 0, 0, 0, 0]",5a754d3e5be8ad5b6d7f109812d59191919e23fc5f0c6d5845b16ff30ebcef4a,97c5c26ad306bb60d864fbd71e531cb8729257de04f5fed3b15edaac8ff529f7,INTRINSIC_CANONICAL_DIMENSION_ONE,"{""z2_a12_parity"":16,""z4_a12_frame_clock"":-16,""z4_a42_clock"":32}",,
8,18,a985pf.e206beea930aaabb08cab08e,e206beea930aaabb08cab08e1ed36670e862041606b4290945028c84150f56df,a985coord.44ea9db8e2149ecf9e9ce069,44ea9db8e2149ecf9e9ce0694626e9d997c5b1ce88b3fe621867f3d2f6745efd,3,9,"[164063, 0, 0, -223959, 373048, 0]",e2c8ee0d254cb59a014e62f415accc2f4e99cc482a5c500fcf5906071a97b0e7,2b694ed015f58cfac95051b72c0bd9d64dafe584e9333f0701b137e93ceb3673,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":1,""z4_a12_frame_clock"":-23,""z4_a42_clock"":2}",,
9,22,a985pf.888800292a677b99e8e0d84a,888800292a677b99e8e0d84a441218b716743223b90a2927e67367f3ecee2ef3,a985coord.292d96a8cd931bfd754c2f92,292d96a8cd931bfd754c2f92ec2bd01cb0e4c7f44d7274916089dc3c361bf448,3,9,"[0, 0, 0, -447918, 0, -417970]",0de2e04e4da3f351d82c4eaf080383ae04fbf5e73b2c2c614680024a0fea0c19,576f09cc570650c9ae17aa1d48862004bf276d30dcc52d1a8b20974528c07613,REPO_STORED_BASIS_CONVENTION,"{""z2_a12_parity"":2,""z4_a12_frame_clock"":2,""z4_a42_clock"":4}",,
