candidate_unit_label,target_i,target_j,source_i,source_j,coefficient_mod_1000003
"v_legacy[5;0,0]",0,0,0,0,999989
"v_legacy[5;0,0]",0,0,0,1,6
"v_legacy[5;0,0]",0,0,1,0,999968
"v_legacy[5;0,0]",0,0,1,1,15
"v_legacy[5;0,1]",0,1,0,0,10
"v_legacy[5;0,1]",0,1,0,1,999999
"v_legacy[5;0,1]",0,1,1,0,25
"v_legacy[5;0,1]",0,1,1,1,999993
"v_legacy[5;1,0]",1,0,0,0,999982
"v_legacy[5;1,0]",1,0,0,1,9
"v_legacy[5;1,0]",1,0,1,0,999954
"v_legacy[5;1,0]",1,0,1,1,21
"v_legacy[5;1,1]",1,1,0,0,15
"v_legacy[5;1,1]",1,1,0,1,999997
"v_legacy[5;1,1]",1,1,1,0,35
"v_legacy[5;1,1]",1,1,1,1,999989
