candidate_unit_label,local_unit_column,relation_alpha,coefficient_mod_1000003,candidate_source
"v_sector[5;0,0]",0,227,562503,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,228,437500,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,229,562503,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,230,562503,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,231,437500,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,232,437500,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,234,437500,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,240,562503,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,271,878180,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,274,878180,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,276,121823,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,279,121823,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,281,878180,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,283,121823,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,285,121823,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,290,878180,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,761,7523,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
"v_sector[5;0,0]",0,762,992480,NONTRIVIAL_GL2_FIXTURE_FROM_CERTIFIED_SECTOR5_RAW_UNITS
