support_name,projector_column,support_basis_index,support_unit_row,source_support,transported_source_support,source_sector,raw_sector,block_dimension,i,j,full_unit_column,source_matrix_unit_label,raw_matrix_unit_label,coefficient_source
unit_top_all_39,0,0,0,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,0,0,"u_sector[0;0,0]","u_raw[32;0,0]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,1,1,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,1,1,"u_sector[0;0,1]","u_raw[32;0,1]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,2,2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,2,2,"u_sector[0;0,2]","u_raw[32;0,2]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,3,3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,3,3,"u_sector[0;0,3]","u_raw[32;0,3]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,4,4,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,4,4,"u_sector[0;0,4]","u_raw[32;0,4]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,5,5,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,5,5,"u_sector[0;0,5]","u_raw[32;0,5]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,6,6,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,6,6,"u_sector[0;0,6]","u_raw[32;0,6]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,7,7,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,7,7,"u_sector[0;0,7]","u_raw[32;0,7]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,8,8,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,8,8,"u_sector[0;0,8]","u_raw[32;0,8]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
unit_top_all_39,0,9,9,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39}","{0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38}",0,32,10,0,9,9,"u_sector[0;0,9]","u_raw[32;0,9]",CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE
