cycle_type,partition_desc,class_size,centralizer_size,cycle_count,support_size,fixed_points,all_transposition_distance,parity
1^20,1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1,2432902008176640000,20,0,20,0,even
1^18 2,2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,190,12804747411456000,19,2,18,1,odd
1^17 3,3+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,2280,1067062284288000,18,3,17,2,even
1^16 2^2,2+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,14535,167382319104000,18,4,16,2,even
1^16 4,4+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,29070,83691159552000,17,4,16,3,odd
1^15 2 3,3+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,310080,7846046208000,17,5,15,3,odd
1^14 2^3,2+2+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1,581400,4184557977600,17,6,14,3,odd
1^15 5,5+1+1+1+1+1+1+1+1+1+1+1+1+1+1+1,372096,6538371840000,16,5,15,4,even
1^14 2 4,4+2+1+1+1+1+1+1+1+1+1+1+1+1+1+1,3488400,697426329600,16,6,14,4,even
1^14 3^2,3+3+1+1+1+1+1+1+1+1+1+1+1+1+1+1,1550400,1569209241600,16,6,14,4,even
1^13 2^2 3,3+2+2+1+1+1+1+1+1+1+1+1+1+1+1+1,16279200,149448499200,16,7,13,4,even
1^12 2^4,2+2+2+2+1+1+1+1+1+1+1+1+1+1+1+1,13226850,183936614400,16,8,12,4,even
1^14 6,6+1+1+1+1+1+1+1+1+1+1+1+1+1+1,4651200,523069747200,15,6,14,5,odd
1^13 2 5,5+2+1+1+1+1+1+1+1+1+1+1+1+1+1,39070080,62270208000,15,7,13,5,odd
1^13 3 4,4+3+1+1+1+1+1+1+1+1+1+1+1+1+1,32558400,74724249600,15,7,13,5,odd
1^12 2 3^2,3+3+2+1+1+1+1+1+1+1+1+1+1+1+1,141086400,17244057600,15,8,12,5,odd
1^12 2^2 4,4+2+2+1+1+1+1+1+1+1+1+1+1+1+1,158722200,15328051200,15,8,12,5,odd
1^11 2^3 3,3+2+2+2+1+1+1+1+1+1+1+1+1+1+1,423259200,5748019200,15,9,11,5,odd
