cycle_i,cycle_j,shared_edges,xor_edge_weight,length_i,length_j,optical_i,optical_j,xor_length_naive
0,1,3,10,8,8,1075200,1320960,10
0,2,2,9,8,5,1075200,774144,9
0,3,2,14,8,10,1075200,1191936,14
0,4,1,14,8,8,1075200,1081344,14
0,5,1,11,8,5,1075200,691200,11
0,6,4,5,8,5,1075200,903168,5
0,7,2,9,8,5,1075200,1069056,9
0,8,1,11,8,5,1075200,374784,11
0,9,0,13,8,5,1075200,992256,13
0,10,1,14,8,8,1075200,1090560,14
1,2,0,13,8,5,1320960,774144,13
1,3,4,10,8,10,1320960,1191936,10
1,4,3,10,8,8,1320960,1081344,10
1,5,1,11,8,5,1320960,691200,11
1,6,1,11,8,5,1320960,903168,11
1,7,4,5,8,5,1320960,1069056,5
1,8,0,13,8,5,1320960,374784,13
1,9,0,13,8,5,1320960,992256,13
1,10,0,16,8,8,1320960,1090560,16
2,3,2,11,5,10,774144,1191936,11
2,4,0,13,5,8,774144,1081344,13
2,5,0,10,5,5,774144,691200,10
2,6,1,8,5,5,774144,903168,8
2,7,0,10,5,5,774144,1069056,10
2,8,1,8,5,5,774144,374784,8
2,9,0,10,5,5,774144,992256,10
2,10,2,9,5,8,774144,1090560,9
3,4,4,10,10,8,1191936,1081344,10
3,5,2,11,10,5,1191936,691200,11
3,6,2,11,10,5,1191936,903168,11
3,7,2,11,10,5,1191936,1069056,11
3,8,2,11,10,5,1191936,374784,11
3,9,0,15,10,5,1191936,992256,15
3,10,4,10,10,8,1191936,1090560,10
4,5,4,5,8,5,1081344,691200,5
4,6,1,11,8,5,1081344,903168,11
4,7,2,9,8,5,1081344,1069056,9
4,8,1,11,8,5,1081344,374784,11
4,9,2,9,8,5,1081344,992256,9
4,10,1,14,8,8,1081344,1090560,14
5,6,1,8,5,5,691200,903168,8
5,7,1,8,5,5,691200,1069056,8
5,8,1,8,5,5,691200,374784,8
5,9,1,8,5,5,691200,992256,8
5,10,1,11,5,8,691200,1090560,11
6,7,1,8,5,5,903168,1069056,8
6,8,1,8,5,5,903168,374784,8
6,9,0,10,5,5,903168,992256,10
6,10,1,11,5,8,903168,1090560,11
7,8,0,10,5,5,1069056,374784,10
7,9,0,10,5,5,1069056,992256,10
7,10,0,13,5,8,1069056,1090560,13
8,9,1,8,5,5,374784,992256,8
8,10,4,5,5,8,374784,1090560,5
9,10,2,9,5,8,992256,1090560,9
