mode,mode_name,block,mode_subspace_explained_fraction
1,completion/J-pressure polarity,full_nonflag,0.8614621705315706
1,completion/J-pressure polarity,quoted_band,0.8104532093686796
1,completion/J-pressure polarity,Omega_J+D_J+M_CVX,0.8035393963325932
1,completion/J-pressure polarity,D_J+M_CVX,0.787706274335137
1,completion/J-pressure polarity,Omega_J+M_CVX,0.7858802390638789
1,completion/J-pressure polarity,Omega_J+D_J,0.7790435255146291
1,completion/J-pressure polarity,Omega_J,0.7339422405711715
1,completion/J-pressure polarity,M_CVX,0.7242524700885467
1,completion/J-pressure polarity,D_J,0.6989037558359394
2,kernel-spike q4-loss polarity,full_nonflag,0.7912275333046339
2,kernel-spike q4-loss polarity,quoted_band,0.7622775683340668
2,kernel-spike q4-loss polarity,Omega_J+D_J+M_CVX,0.7167416537623009
2,kernel-spike q4-loss polarity,Omega_J+D_J,0.6765746347378188
2,kernel-spike q4-loss polarity,D_J+M_CVX,0.5704163833521166
2,kernel-spike q4-loss polarity,D_J,0.4782010221719823
2,kernel-spike q4-loss polarity,Omega_J+M_CVX,0.2719840288533838
2,kernel-spike q4-loss polarity,M_CVX,0.19687450962351943
2,kernel-spike q4-loss polarity,Omega_J,0.13807610908809184
3,monodromy-contamination correction,full_nonflag,0.26942827995886925
3,monodromy-contamination correction,Omega_J+D_J+M_CVX,0.18459355796160673
3,monodromy-contamination correction,D_J+M_CVX,0.18174146497816787
3,monodromy-contamination correction,quoted_band,0.16413191858970586
3,monodromy-contamination correction,Omega_J+D_J,0.16179654463045734
3,monodromy-contamination correction,D_J,0.15901079606664634
3,monodromy-contamination correction,Omega_J+M_CVX,0.07661590204059615
3,monodromy-contamination correction,M_CVX,0.036877813512162745
3,monodromy-contamination correction,Omega_J,0.012630207288009648
4,homology/bluff stabilizer-breaking micro-mode,full_nonflag,0.042325106685095204
4,homology/bluff stabilizer-breaking micro-mode,Omega_J+D_J+M_CVX,0.019708264680862526
4,homology/bluff stabilizer-breaking micro-mode,quoted_band,0.017888175888111278
4,homology/bluff stabilizer-breaking micro-mode,D_J+M_CVX,0.014175620113727395
4,homology/bluff stabilizer-breaking micro-mode,Omega_J+D_J,0.011505972955084372
4,homology/bluff stabilizer-breaking micro-mode,Omega_J+M_CVX,0.010652943153049767
4,homology/bluff stabilizer-breaking micro-mode,D_J,0.0067204852090732405
4,homology/bluff stabilizer-breaking micro-mode,Omega_J,0.006431341541962916
4,homology/bluff stabilizer-breaking micro-mode,M_CVX,0.0013126476217496027
5,q4/monodromy micro-mode,full_nonflag,0.058005424824540235
5,q4/monodromy micro-mode,quoted_band,0.037875390601447685
5,q4/monodromy micro-mode,Omega_J+D_J+M_CVX,0.033916335518945316
5,q4/monodromy micro-mode,D_J+M_CVX,0.026265850998364284
5,q4/monodromy micro-mode,Omega_J+D_J,0.021134962335103258
5,q4/monodromy micro-mode,D_J,0.018792328388238105
5,q4/monodromy micro-mode,Omega_J+M_CVX,0.007584119057615738
5,q4/monodromy micro-mode,M_CVX,0.003590944470838665
5,q4/monodromy micro-mode,Omega_J,0.002489652524187772
6,kernel-drip face-denial micro-mode,full_nonflag,0.04708696496172489
6,kernel-drip face-denial micro-mode,Omega_J+D_J+M_CVX,0.02112389779666255
6,kernel-drip face-denial micro-mode,D_J+M_CVX,0.020102383143415174
6,kernel-drip face-denial micro-mode,quoted_band,0.01639108436230412
6,kernel-drip face-denial micro-mode,Omega_J+D_J,0.01022189526121456
6,kernel-drip face-denial micro-mode,D_J,0.007953713334499674
6,kernel-drip face-denial micro-mode,Omega_J+M_CVX,0.00431549795666597
6,kernel-drip face-denial micro-mode,Omega_J,0.0009555658223189674
6,kernel-drip face-denial micro-mode,M_CVX,0.00019895286142546055
7,tail micro-mode,full_nonflag,0.01371244954799051
7,tail micro-mode,Omega_J+D_J+M_CVX,0.008608399918565142
7,tail micro-mode,quoted_band,0.007904040995473692
7,tail micro-mode,Omega_J+D_J,0.007126483688299257
7,tail micro-mode,Omega_J+M_CVX,0.006536297292763529
7,tail micro-mode,D_J+M_CVX,0.004381831059499398
7,tail micro-mode,D_J,0.003862907774166342
7,tail micro-mode,Omega_J,0.0018539254335733502
7,tail micro-mode,M_CVX,0.0006860057886388534
8,tail micro-mode,full_nonflag,0.028098892357630047
8,tail micro-mode,Omega_J+D_J+M_CVX,0.01075546161194868
8,tail micro-mode,Omega_J+M_CVX,0.00976165480737755
8,tail micro-mode,quoted_band,0.007363031497956087
8,tail micro-mode,Omega_J+D_J,0.005361903183997717
8,tail micro-mode,D_J+M_CVX,0.005200252655536948
8,tail micro-mode,Omega_J,0.0042710935141155966
8,tail micro-mode,D_J,0.0034375019993902597
8,tail micro-mode,M_CVX,0.0001684519925567957
