,BLUFF_ENGINE,CURVATURE_INJECTOR,DIVERGENCE_TAX,EXTRACTOR_LURE,FACE12_DENIAL,FACE15_DENIAL,FACE17_DENIAL,HOMOLOGY_PUNCTURE,H_MASK_SPLIT,KERNEL_DRIP,KERNEL_SPIKE,MONODROME_CONTAMINATOR,NONE,OMEGA_LOCK,RANDOM_JABBER,RANK4_TAX
BASIN_SWITCHER,-51.65142736346791,50.18012934949507,36.61414555319879,11.667108516161724,90.52601476616174,4.114932590235829,83.20878096986546,38.378046016161726,63.93012934949507,30.388462682828383,-252.86801301161609,-110.25994588198643,80.18012934949506,80.18012934949506,-65.16641868291235,-164.37991694680122
BLUFF_REVEAL,10.211385518190566,70.25301129393954,24.79879833097657,9.868352703704817,70.93634462727285,71.01967796060622,71.18634462727285,52.09259462727285,68.39884462727285,69.6696779606062,52.148995090235836,-79.56135024534055,71.25301129393954,71.25301129393954,22.216834510642272,64.63634462727289
CURVATURE_ZERO,-76.42094132861648,240.8125714791247,121.81104370134693,2.513315049834234,149.39978212727286,242.56934809949507,242.19565018282836,240.3222097893099,241.10453907171723,239.14056337727294,138.54023351616175,-102.06085549180371,242.99915712727284,242.72294184949502,-129.15881032512362,159.14991522912467
DIVERGENCE_MIN,-21.219320881986402,76.11391407171728,108.88891407171725,17.37016407171733,104.40558073838396,106.25558073838394,104.82224740505058,64.46808073838396,90.65558073838396,56.48891407171734,-234.27085444680125,-71.10970861346792,105.86391407171728,105.86391407171728,-44.309002594949376,-154.92362643754197
EMERGENCE_SEEKER,-480.9052178727272,-409.9167109282827,-278.1054030579123,-384.31523523383834,-297.28882898383847,-297.28882898383847,-297.28882898383847,-88.4766385903198,-303.53882898383847,-470.3352873171716,-433.4699400949494,-394.6282387060606,-297.28882898383847,-297.28882898383847,-270.3633544468012,-280.4965199560607
FACE12_ANCHOR,-69.15202342828272,40.277455738383985,48.69967217356915,-4.15981278013454,64.0612520346803,73.45245573838396,77.65217796060618,34.26703907171733,61.48578907171733,19.81912240505064,-263.4784586134679,-113.9579262060605,75.86078907171732,75.86078907171732,-111.2046304884679,-209.34852805791232
FACE15_ANCHOR,-39.243493335690125,56.878046016161726,56.13112471986545,14.307328423569135,88.11184231245802,91.89100897912472,91.83729948838392,46.80512934949507,84.79471268282838,38.96137934949507,-259.53431509494936,-95.18059981717163,91.87804601616178,91.87804601616178,-66.19011081254199,-147.08918778013455
FACE17_ANCHOR,-87.91277574309753,11.310129349495092,-6.957272270875317,-29.393261854208628,44.68512934949509,35.29346268282841,49.64670921060618,16.01846268282843,48.43512934949509,-9.481537317171597,-287.22186139124574,-131.72992273383827,47.393462682828435,47.393462682828435,-106.49529310420864,-190.75822134494936
H2047_PURIST,-38.94155182289404,138.80641407171728,142.41906453468025,78.180226734962,176.12308073838395,151.28974740505063,168.3897474050506,108.50891407171731,160.55641407171728,81.47308073838393,-221.57443662272712,-52.22016584023359,230.2230807383839,150.6397474050506,-90.63517933908336,-92.78891578939384
H954_CORRIDOR,-121.8218671782827,-11.61580815050494,-17.45268893754196,-56.23735907643087,34.138080738383984,30.22603212727283,32.23690018282843,-16.964028636616046,23.571691849495057,-68.74080815050495,-279.00423986346794,-146.56374217828272,29.509191849495057,29.509191849495057,-180.93564321994936,-209.30079657643088
MONODROME_PURIST,71.50873847228075,99.25627518282842,79.40656453468024,154.62673039584877,130.27294184949508,0.5034626828283894,130.02294184949508,89.92294184949505,121.54794184949506,82.17294184949505,-200.58772365976418,168.68051894220253,137.58960851616175,137.58960851616175,0.5008513856306746,-124.61956972457898
Q4_BALANCER,-100.90866888428688,-1.4611900949493684,12.812311062458056,-22.89081105673335,56.17214323838399,11.964816849495083,56.18047657171734,-46.27785676161604,37.47630990505066,-39.677856761616034,-238.1906981968012,-96.811588457182,61.95547657171735,59.247143238384005,-153.19209626332704,-148.2978972708753
ROBUST_REVEAL,163.47576490398654,135.76752518282845,135.35085851616176,165.44243157065318,136.8175251828284,136.68419184949508,136.55085851616175,124.72585851616174,134.71752518282838,134.80085851616175,103.8538504143099,192.41900812237344,137.13419184949507,137.13419184949507,140.44517753243724,121.56752518282838
SIGMA_MIN,-75.63473278119864,54.49662240505062,63.05464323838399,50.16622883569234,99.0911362939395,113.08828907171734,119.21328907171734,24.11942622449506,97.99662240505066,5.013289071717272,-239.42799565050493,-64.31235045942503,145.03828907171726,119.8299557383839,-123.05533488846287,-118.7746160208753
SPREAD_CONTROL,-67.26134155207505,20.51565018282837,16.646796016161762,-31.551380123848666,72.09720110875433,65.807316849495,14.106969627272823,10.48174682634694,2.5458874513469327,-21.401016483838287,-241.79296092828272,-100.09184696178292,97.68231684949502,97.68231684949502,-91.70597874576735,-145.66678615976417
STOCHASTIC_CONTROL,-75.71778153013456,64.47730238190248,19.53410215042102,-7.511311622727144,66.59344242819877,67.5904447430136,72.00028559949506,-2.647677363467902,60.982510715235826,9.506023446717327,-257.99291752550494,-138.42914437735678,79.81599451153214,87.31631569208766,-135.09371903013457,-174.837850974579
