builder,jabber,payoff,win,pure,flat,curved,monodrome,loss,hpop,sigma_H,omega,divergence,C,V,X,bluff,q4,sealed,J_pressure,S_score,F7_minus_L3,L3_minus_P1,P1_point
ROBUST_REVEAL,NONE,307.8208333333333,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,8.25,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
ROBUST_REVEAL,KERNEL_SPIKE,274.54049189814816,0.9166666666666666,0.0,0.0,0.9166666666666666,0.0,0.0,8.875,2.125,1.5,30.03356481481481,98.75,78.875,0.0,0.0,0.0,98.75,0.09729546957671953,0.8902045304232805,0.0,0.0,1.0
ROBUST_REVEAL,KERNEL_DRIP,305.4875,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,24.916666666666668,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
ROBUST_REVEAL,BLUFF_ENGINE,304.9875,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,26.5,8.875,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.5416666666666666,0.4583333333333333
ROBUST_REVEAL,CURVATURE_INJECTOR,306.4541666666667,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,27.541666666666668,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
ROBUST_REVEAL,MONODROME_CONTAMINATOR,305.6875,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,19.0,10.125,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.08333333333333333,0.625,0.2916666666666667
ROBUST_REVEAL,DIVERGENCE_TAX,306.0375,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,10.291666666666666,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
ROBUST_REVEAL,HOMOLOGY_PUNCTURE,295.4125,1.0,0.0,0.0,1.0,0.0,0.0,8.625,2.375,1.0,30.83333333333333,100.0,29.625,0.0,0.0,0.0,100.0,0.07904761904761902,0.920952380952381,0.0,0.0,1.0
ROBUST_REVEAL,FACE15_DENIAL,307.37083333333334,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,10.75,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
ROBUST_REVEAL,FACE12_DENIAL,307.50416666666666,1.0,0.0,0.0,1.0,0.0,0.0,9.0,2.0,1.0,30.83333333333333,100.0,9.541666666666666,0.0,0.0,0.0,100.0,0.0736904761904762,0.9263095238095239,0.0,0.0,1.0
