,BLUFF_ENGINE,CURVATURE_INJECTOR,DIVERGENCE_TAX,EXTRACTOR_LURE,FACE12_DENIAL,FACE15_DENIAL,FACE17_DENIAL,HOMOLOGY_PUNCTURE,H_MASK_SPLIT,KERNEL_DRIP,KERNEL_SPIKE,MONODROME_CONTAMINATOR,NONE,OMEGA_LOCK,RANDOM_JABBER,RANK4_TAX
BASIN_SWITCHER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLUFF_REVEAL,6.760568726272182,0.0,0.0,-16.05827456268442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.905522785659178,0.0,0.0,33.63009425587199,0.0
CURVATURE_ZERO,-15.51562237291421,0.0,0.0,31.697410134823933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.829064539826286,0.0,0.0,-71.10966656841656,0.0
DIVERGENCE_MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMERGENCE_SEEKER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE12_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE15_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FACE17_ANCHOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H2047_PURIST,-17.74074134915169,0.0,0.0,36.46761881953578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.099971691305775,0.0,0.0,-81.57188734660029,0.0
H954_CORRIDOR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONODROME_PURIST,-16.58083890409174,0.0,0.0,33.981020675377536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.916200942130331,0.0,0.0,-76.1181765154195,0.0
Q4_BALANCER,-17.74074134915169,0.0,0.0,36.46761881953578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.099971691305775,0.0,0.0,-81.57188734660029,0.0
ROBUST_REVEAL,-13.626370411957891,0.0,0.0,27.6472329496913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.90093582630602,0.0,0.0,-62.226648926562596,0.0
SIGMA_MIN,-12.548797071264271,0.0,0.0,25.337131888541577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.80118833785371,0.0,0.0,-57.16003886417178,0.0
SPREAD_CONTROL,-15.602881940609832,0.0,0.0,31.884477142067645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91811972223731,0.0,0.0,-71.51994973618868,0.0
STOCHASTIC_CONTROL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
