projective_root_id,root_type,i,j,edge_i,edge_j,symbol,transition_reading
1,minus,0,1,B-,B+,[B- - B+],D6 projective legal transition on contracted Fano/6j edge channels
2,plus,0,1,B-,B+,[B- + B+],D6 projective legal transition on contracted Fano/6j edge channels
3,minus,0,2,B-,V-,[B- - V-],D6 projective legal transition on contracted Fano/6j edge channels
4,plus,0,2,B-,V-,[B- + V-],D6 projective legal transition on contracted Fano/6j edge channels
5,minus,0,3,B-,V+,[B- - V+],D6 projective legal transition on contracted Fano/6j edge channels
6,plus,0,3,B-,V+,[B- + V+],D6 projective legal transition on contracted Fano/6j edge channels
7,minus,0,4,B-,S-,[B- - S-],D6 projective legal transition on contracted Fano/6j edge channels
8,plus,0,4,B-,S-,[B- + S-],D6 projective legal transition on contracted Fano/6j edge channels
9,minus,0,5,B-,S+,[B- - S+],D6 projective legal transition on contracted Fano/6j edge channels
10,plus,0,5,B-,S+,[B- + S+],D6 projective legal transition on contracted Fano/6j edge channels
11,minus,1,2,B+,V-,[B+ - V-],D6 projective legal transition on contracted Fano/6j edge channels
12,plus,1,2,B+,V-,[B+ + V-],D6 projective legal transition on contracted Fano/6j edge channels
13,minus,1,3,B+,V+,[B+ - V+],D6 projective legal transition on contracted Fano/6j edge channels
14,plus,1,3,B+,V+,[B+ + V+],D6 projective legal transition on contracted Fano/6j edge channels
15,minus,1,4,B+,S-,[B+ - S-],D6 projective legal transition on contracted Fano/6j edge channels
16,plus,1,4,B+,S-,[B+ + S-],D6 projective legal transition on contracted Fano/6j edge channels
17,minus,1,5,B+,S+,[B+ - S+],D6 projective legal transition on contracted Fano/6j edge channels
18,plus,1,5,B+,S+,[B+ + S+],D6 projective legal transition on contracted Fano/6j edge channels
19,minus,2,3,V-,V+,[V- - V+],D6 projective legal transition on contracted Fano/6j edge channels
20,plus,2,3,V-,V+,[V- + V+],D6 projective legal transition on contracted Fano/6j edge channels
21,minus,2,4,V-,S-,[V- - S-],D6 projective legal transition on contracted Fano/6j edge channels
22,plus,2,4,V-,S-,[V- + S-],D6 projective legal transition on contracted Fano/6j edge channels
23,minus,2,5,V-,S+,[V- - S+],D6 projective legal transition on contracted Fano/6j edge channels
24,plus,2,5,V-,S+,[V- + S+],D6 projective legal transition on contracted Fano/6j edge channels
25,minus,3,4,V+,S-,[V+ - S-],D6 projective legal transition on contracted Fano/6j edge channels
26,plus,3,4,V+,S-,[V+ + S-],D6 projective legal transition on contracted Fano/6j edge channels
27,minus,3,5,V+,S+,[V+ - S+],D6 projective legal transition on contracted Fano/6j edge channels
28,plus,3,5,V+,S+,[V+ + S+],D6 projective legal transition on contracted Fano/6j edge channels
29,minus,4,5,S-,S+,[S- - S+],D6 projective legal transition on contracted Fano/6j edge channels
30,plus,4,5,S-,S+,[S- + S+],D6 projective legal transition on contracted Fano/6j edge channels
