operator_id,null_point,operator_kind,basis_component,group,coefficient,energy_fraction
R_full,001,raw,WD6_scalar_I,WD6_scalar,349146.8869809523,0.1656118491469882
R_full,001,raw,pair_BB,pair_diag_contrast,310386.9527502404,0.13088261767318587
R_full,001,raw,pair_BV,pair_offdiag_chamber,-23232.510608640277,0.0007332757895709209
R_full,001,raw,pair_BS,pair_offdiag_chamber,425881.845691747,0.24640715422166495
R_full,001,raw,pair_VB,pair_offdiag_chamber,-68872.924760017,0.006444245993857384
R_full,001,raw,pair_VV,pair_diag_contrast,-92128.17808614296,0.011530815503390366
R_full,001,raw,pair_VS,pair_offdiag_chamber,-68872.92476001683,0.006444245993857352
R_full,001,raw,pair_SB,pair_offdiag_chamber,425881.84569174756,0.2464071542216656
R_full,001,raw,pair_SV,pair_offdiag_chamber,-23232.510608640252,0.0007332757895709193
R_full,001,raw,pair_SS,pair_diag_contrast,368824.4973796567,0.18480536566624825
R_full,001,normalized,WD6_scalar_I,WD6_scalar,8378.09557652127,0.16482101497678864
R_full,001,normalized,pair_BB,pair_diag_contrast,7453.648217544827,0.1304547050454952
R_full,001,normalized,pair_BV,pair_offdiag_chamber,-394.5452134626886,0.0003655236832518435
R_full,001,normalized,pair_BS,pair_offdiag_chamber,10224.561970553426,0.24547732742184528
R_full,001,normalized,pair_VB,pair_offdiag_chamber,-1921.9324165686317,0.008673575979388753
R_full,001,normalized,pair_VV,pair_diag_contrast,-2221.046300905244,0.011583430242358118
R_full,001,normalized,pair_VS,pair_offdiag_chamber,-1921.9324165686266,0.008673575979388708
R_full,001,normalized,pair_SB,pair_offdiag_chamber,10224.561970553468,0.24547732742184725
R_full,001,normalized,pair_SV,pair_offdiag_chamber,-394.54521346268916,0.00036552368325184456
R_full,001,normalized,pair_SS,pair_diag_contrast,8854.730409067557,0.18410799556638435
R_full,010,raw,WD6_scalar_I,WD6_scalar,374657.3400165682,0.16562651657293812
R_full,010,raw,pair_BB,pair_diag_contrast,332878.967795147,0.13074770948060221
R_full,010,raw,pair_BV,pair_offdiag_chamber,-14678.140454117469,0.0002542163362377375
R_full,010,raw,pair_BS,pair_offdiag_chamber,456828.7512055604,0.24624546175466827
R_full,010,raw,pair_VB,pair_offdiag_chamber,-55949.00174139261,0.00369356768053383
R_full,010,raw,pair_VV,pair_diag_contrast,-99956.74494804788,0.011789233981854486
R_full,010,raw,pair_VS,pair_offdiag_chamber,-55949.00174139204,0.0036935676805337544
R_full,010,raw,pair_SB,pair_offdiag_chamber,456828.7512055494,0.24624546175465642
R_full,010,raw,pair_SV,pair_offdiag_chamber,-14678.140454116965,0.00025421633623772005
