source_jabber,assigned_jabber,cost_L2
BLUFF_ENGINE,BLUFF_ENGINE,1.0820343837700306
CURVATURE_INJECTOR,KERNEL_DRIP,1.4142135623730951
DIVERGENCE_TAX,OMEGA_LOCK,1.4142135623730951
EXTRACTOR_LURE,EXTRACTOR_LURE,1.1670342729074519
FACE12_DENIAL,FACE12_DENIAL,1.4142135623730951
FACE15_DENIAL,CURVATURE_INJECTOR,1.4142135623730951
FACE17_DENIAL,DIVERGENCE_TAX,1.4142135623730951
HOMOLOGY_PUNCTURE,FACE15_DENIAL,1.4142135623730951
H_MASK_SPLIT,FACE17_DENIAL,1.4142135623730951
KERNEL_DRIP,HOMOLOGY_PUNCTURE,1.4142135623730951
KERNEL_SPIKE,H_MASK_SPLIT,1.4142135623730951
MONODROME_CONTAMINATOR,MONODROME_CONTAMINATOR,1.049322452629321
NONE,KERNEL_SPIKE,1.4142135623730951
OMEGA_LOCK,NONE,1.4142135623730951
RANDOM_JABBER,RANDOM_JABBER,1.1012673369577828
RANK4_TAX,RANK4_TAX,1.4142135623730951
