,B-,B+,V-,V+,S-,S+
BASIN_SWITCHER,1.0,0.0,0.0,0.0,0.0,0.0
BLUFF_REVEAL,0.9256987048398093,0.04703476482617588,0.006816632583503732,0.006816632583503732,0.006816632583503732,0.006816632583503732
CURVATURE_ZERO,0.8922413793103449,0.10344827586206896,0.0010775862068965517,0.0010775862068965517,0.0010775862068965517,0.0010775862068965517
DIVERGENCE_MIN,1.0,0.0,0.0,0.0,0.0,0.0
EMERGENCE_SEEKER,1.0,0.0,0.0,0.0,0.0,0.0
FACE12_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0
FACE15_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0
FACE17_ANCHOR,1.0,0.0,0.0,0.0,0.0,0.0
H2047_PURIST,0.9465020576131687,0.053497942386831275,0.0,0.0,0.0,0.0
H954_CORRIDOR,1.0,0.0,0.0,0.0,0.0,0.0
MONODROME_PURIST,0.9341649341649341,0.06444906444906444,0.0003465003465003376,0.0003465003465003376,0.0003465003465003376,0.0003465003465003376
Q4_BALANCER,0.9821073558648111,0.017892644135188866,0.0,0.0,0.0,0.0
ROBUST_REVEAL,0.9232914923291491,0.0711297071129707,0.0013947001394700048,0.0013947001394700048,0.0013947001394700048,0.0013947001394700048
SIGMA_MIN,0.923398328690808,0.06963788300835654,0.0017409470752088963,0.0017409470752088963,0.0017409470752088963,0.0017409470752088963
SPREAD_CONTROL,0.9650067294751009,0.0336473755047106,0.0003364737550470977,0.0003364737550470977,0.0003364737550470977,0.0003364737550470977
STOCHASTIC_CONTROL,1.0,0.0,0.0,0.0,0.0,0.0
