sample_id,sample_kind,circuit_size,v0,v1,v2,v3,v4,pairing_value
0,1,4,0,1,2,3,-1,19376657210077434922122609511997316504
1,1,4,0,1,2,4,-1,19376657210077434922122609511997316504
2,1,4,0,1,3,4,-1,11975432744163411401742328613165513496
3,0,4,0,1,5,6,-1,0
4,1,4,0,1,5,10,-1,154118986082402538347917443342666
5,1,4,0,1,5,11,-1,154118986082402538347917443342666
6,1,4,0,1,6,10,-1,19418992246411848320207201069412042
7,1,4,0,1,6,11,-1,19418992246411848320207201069412042
8,1,4,0,1,7,14,-1,1524736092761771393198191291612390000
9,1,4,0,1,8,13,-1,30659962302624039369487924634001542754
10,1,4,0,1,9,12,-1,17368874687041174864062452150763626
11,1,4,0,1,10,11,-1,154118986082402538347917443342666
12,1,4,0,1,15,55,-1,14280026499447571150652889470802465000
13,1,4,0,1,16,17,-1,4112139255548587296666433573052867832
14,1,4,0,1,16,31,-1,12203386024886857430086100685307885332
15,1,4,0,1,16,32,-1,697009662447780100932395505418957500
