face_id,old_face_id,face_type_code,source_id,face_size,cycle_v0,cycle_v1,cycle_v2,cycle_v3,cycle_v4,cycle_v5
0,0,5,0,5,0,2,3,4,1,-1
1,1,5,1,5,5,7,8,9,6,-1
2,2,5,2,5,11,12,13,14,10,-1
3,3,5,3,5,15,19,18,17,16,-1
4,4,5,4,5,22,24,20,21,23,-1
5,5,5,5,5,25,27,29,28,26,-1
6,6,5,6,5,32,33,34,30,31,-1
7,7,5,7,5,37,35,36,39,38,-1
8,8,3,8,3,41,42,40,-1,-1,-1
9,9,5,9,5,45,44,43,47,46,-1
10,10,3,10,3,50,49,48,-1,-1,-1
11,11,3,11,3,52,53,51,-1,-1,-1
12,12,6,0,6,0,5,6,11,10,1
13,13,6,1,6,0,5,7,16,15,2
14,14,6,2,6,22,25,26,32,31,23
15,15,6,3,6,22,25,27,38,37,24
16,16,6,4,6,6,11,12,36,35,9
17,17,6,5,6,26,32,33,41,40,28
18,18,6,6,6,33,41,42,46,45,34
19,19,6,7,6,2,15,19,44,43,3
20,20,6,8,6,8,20,24,37,35,9
21,21,6,9,6,18,30,34,45,44,19
22,22,6,10,6,12,36,39,50,48,13
23,23,6,11,6,1,10,14,52,51,4
24,24,6,12,6,27,38,39,50,49,29
25,25,4,13,4,13,48,52,14,-1,-1
26,26,6,14,6,7,16,17,21,20,8
27,27,6,15,6,17,21,23,31,30,18
28,28,6,16,6,3,43,47,53,51,4
29,29,4,17,4,42,46,47,53,-1,-1
30,30,4,18,4,28,40,49,29,-1,-1
31,31,6,19,6,42,40,49,48,52,53
